42	42	3500	3500	1
0	0	0	350	520	1	8	1	1	
0	520	0	350	1040	1	8	1	1	
0	1040	0	350	1560	1	8	1	1	
0	1560	0	350	2080	1	8	1	1	
0	2080	0	350	2600	1	8	1	1	
0	2600	0	350	3120	1	8	1	1	
0	3152	0	439	3268	1	5	2	2	
0	3268	0	439	3384	1	5	2	2	
0	3384	0	439	3500	1	5	2	2	
350	0	0	1925	572	1	20	3	3	
350	572	0	1925	1144	1	20	3	3	
350	1144	0	1925	1716	1	20	3	3	
350	1716	0	1925	2288	1	20	3	3	
350	2288	0	1925	2860	1	20	3	3	
1925	0	0	3500	572	1	20	3	3	
1925	572	0	3500	1144	1	20	3	3	
1925	1144	0	3500	1716	1	20	3	3	
1925	1716	0	3500	2288	1	20	3	3	
1925	2288	0	3500	2860	1	20	3	3	
350	2860	0	805	3152	1	37	4	4	
439	3152	0	878	3268	1	5	5	5	
439	3268	0	878	3384	1	5	5	5	
439	3384	0	878	3500	1	5	5	5	
878	3152	0	1317	3268	1	5	5	5	
878	3268	0	1317	3384	1	5	5	5	
878	3384	0	1317	3500	1	5	5	5	
1317	3152	0	1756	3268	1	5	5	5	
1317	3268	0	1756	3384	1	5	5	5	
1317	3384	0	1756	3500	1	5	5	5	
1756	3152	0	2195	3268	1	5	5	5	
1756	3268	0	2195	3384	1	5	5	5	
1756	3384	0	2195	3500	1	5	5	5	
2195	3152	0	2634	3268	1	5	5	5	
2195	3268	0	2634	3384	1	5	5	5	
2195	3384	0	2634	3500	1	5	5	5	
2634	3152	0	3073	3268	1	5	5	5	
2634	3268	0	3073	3384	1	5	5	5	
2634	3384	0	3073	3500	1	5	5	5	
805	2860	0	1260	3152	1	37	6	6	
1260	2860	0	1715	3152	1	37	6	6	
1715	2860	0	2170	3152	1	37	6	6	
2170	2860	0	2625	3152	1	37	6	6	
2625	2860	0	3080	3152	1	37	6	6	
3073	3190	0	3499	3500	1	32	7	7	
3080	2860	0	3490	3025	1	2	8	8	
3080	3025	0	3490	3190	1	2	8	8	
