52	52	3500	3500	1
0	0	0	560	362	1	39	1	1	
0	362	0	560	724	1	39	1	1	
0	724	0	560	1086	1	39	1	1	
0	1086	0	560	1448	1	39	1	1	
0	1448	0	560	1810	1	39	1	1	
0	1810	0	560	2172	1	39	1	1	
0	2172	0	560	2534	1	39	1	1	
0	2534	0	560	2896	1	39	1	1	
0	2896	0	560	3258	1	39	1	1	
0	3268	0	439	3384	1	5	2	2	
0	3384	0	439	3500	1	5	2	2	
439	3300	0	817	3500	1	1	3	3	
817	3300	0	1195	3500	1	1	3	3	
1195	3300	0	1573	3500	1	1	3	3	
1573	3300	0	1951	3500	1	1	3	3	
1951	3300	0	2329	3500	1	1	3	3	
2329	3300	0	2707	3500	1	1	3	3	
2707	3300	0	3085	3500	1	1	3	3	
3085	3300	0	3463	3500	1	1	3	3	
560	0	0	1050	660	1	27	4	4	
560	660	0	1050	1320	1	27	4	4	
560	1320	0	1050	1980	1	27	4	4	
560	1980	0	1050	2640	1	27	4	4	
560	2640	0	1050	3300	1	27	4	4	
1050	0	0	1540	660	1	27	4	4	
1050	660	0	1540	1320	1	27	4	4	
1050	1320	0	1540	1980	1	27	4	4	
1050	1980	0	1540	2640	1	27	4	4	
1050	2640	0	1540	3300	1	27	4	4	
1540	0	0	2030	660	1	27	4	4	
1540	660	0	2030	1320	1	27	4	4	
1540	1320	0	2030	1980	1	27	4	4	
1540	1980	0	2030	2640	1	27	4	4	
1540	2640	0	2030	3300	1	27	4	4	
2030	0	0	2520	660	1	27	4	4	
2030	660	0	2520	1320	1	27	4	4	
2030	1320	0	2520	1980	1	27	4	4	
2030	1980	0	2520	2640	1	27	4	4	
2030	2640	0	2520	3300	1	27	4	4	
2520	0	0	3010	660	1	27	4	4	
2520	660	0	3010	1320	1	27	4	4	
2520	1320	0	3010	1980	1	27	4	4	
2520	1980	0	3010	2640	1	27	4	4	
2520	2640	0	3010	3300	1	27	4	4	
3010	0	0	3500	660	1	27	4	4	
3010	660	0	3500	1320	1	27	4	4	
3010	1320	0	3500	1980	1	27	4	4	
3010	1980	0	3500	2640	1	27	4	4	
3010	2640	0	3500	3300	1	27	4	4	
